CPU (user): 4107.25	CPU (sys): 2652.5	RAM: 287.4140625
CPU (user): 4137.15625	CPU (sys): 2669.734375	RAM: 293.9140625
CPU (user): 4163.328125	CPU (sys): 2684.875	RAM: 300.59765625
CPU (user): 4168.796875	CPU (sys): 2688.484375	RAM: 264.453125
CPU (user): 4173.90625	CPU (sys): 2692.8125	RAM: 291.46484375
CPU (user): 4179.3125	CPU (sys): 2696.640625	RAM: 284.3125
CPU (user): 4188.4375	CPU (sys): 2702.140625	RAM: 267.4609375
CPU (user): 4198.46875	CPU (sys): 2709.140625	RAM: 285.6875
CPU (user): 4203.546875	CPU (sys): 2713.171875	RAM: 267.9375
CPU (user): 4209.203125	CPU (sys): 2717.265625	RAM: 264.45703125
CPU (user): 4251.625	CPU (sys): 2743.1875	RAM: 311.0234375
CPU (user): 4286.9375	CPU (sys): 2762.703125	RAM: 273.4609375
CPU (user): 4302.375	CPU (sys): 2773.046875	RAM: 292.921875
CPU (user): 4366.609375	CPU (sys): 2813.046875	RAM: 300.47265625
CPU (user): 4372.796875	CPU (sys): 2817.59375	RAM: 280.53515625
CPU (user): 4385.21875	CPU (sys): 2825.953125	RAM: 304.546875
CPU (user): 4400.53125	CPU (sys): 2835.796875	RAM: 294.47265625
CPU (user): 4452.390625	CPU (sys): 2869.15625	RAM: 300.47265625
CPU (user): 4466.078125	CPU (sys): 2877.359375	RAM: 286.1015625
CPU (user): 4471.03125	CPU (sys): 2880.484375	RAM: 268.171875
CPU (user): 4488.46875	CPU (sys): 2891.328125	RAM: 267.921875
CPU (user): 4500.71875	CPU (sys): 2899.34375	RAM: 284.75390625
CPU (user): 4513.015625	CPU (sys): 2906.71875	RAM: 286.765625
CPU (user): 4520.640625	CPU (sys): 2912.375	RAM: 276.46875
CPU (user): 4528.6875	CPU (sys): 2917.453125	RAM: 285.5390625
CPU (user): 4555.15625	CPU (sys): 2934.46875	RAM: 267.8203125
CPU (user): 4614.421875	CPU (sys): 2971.8125	RAM: 294.53125
CPU (user): 4639.390625	CPU (sys): 2985.703125	RAM: 286.8203125
CPU (user): 4645.640625	CPU (sys): 2990.5	RAM: 277.5234375
